Services,Business Sector,"Professional, scientific and technical services","Other professional, scientific and technical services [5419]","5,385",
Services,Business Sector,Management of companies and enterprises,Management of companies and enterprises [55],"10,879",
Services,Business Sector,"Administrative and support, waste management and remediation services",Office administrative services [5611],"5,728",
Services,Business Sector,"Administrative and support, waste management and remediation services",Employment services [5613],"6,488",
Services,Business Sector,"Administrative and support, waste management and remediation services",Business support services [5614],"4,325",
Services,Business Sector,"Administrative and support, waste management and remediation services",Travel arrangement and reservation services [5615],"1,997",
Services,Business Sector,"Administrative and support, waste management and remediation services",Investigation and security services [5616],"4,170",
Services,Business Sector,"Administrative and support, waste management and remediation services",Services to buildings and dwellings [5617],"8,054",
Services,Business Sector,"Administrative and support, waste management and remediation services",Facilities and other support services [561A] 3,"6,207",
Services,Business Sector,"Administrative and support, waste management and remediation services",Waste management and remediation services [562],"6,108",
Services,Public sector,"Educational services	",Elementary and secondary schools [6111],"47,479",
Services,Public sector,"Educational services	",Community colleges and C.E.G.E.P.s [6112],"7,878",
Services,Public sector,"Educational services	",Universities [6113],"32,297",
Services,Public sector,"Educational services	",Other educational services [611A] 3,"4,098",
Services,Public sector,Health care and social assistance,Ambulatory health care services [621],"45,634",
Services,Public sector,Health care and social assistance,Hospitals [622],"41,533",
Services,Public sector,Health care and social assistance,Nursing and residential care facilities [623],"17,725",
Services,Public sector,Health care and social assistance,Social Assistance [624],"13,129",
Services,Business Sector,"Arts, entertainment and recreation","Performing arts, spectator sports and related industries, and heritage institutions [71A] 3","6,436",
Services,Business Sector,"Arts, entertainment and recreation",Gambling industries [7132],"2,323",
Services,Business Sector,"Arts, entertainment and recreation",Amusement and recreation industries [713A] 3,"5,122",
Services,Business Sector,Accommodation and food services,Accommodation services [721],"11,605",
Services,Business Sector,Accommodation and food services,Food services and drinking places [722],"26,643",
Services,Business Sector,Other services (except public administration),Repair and maintenance [811],"13,525",
Services,Business Sector,Other services (except public administration),Personal and laundry services [812],"7,207",
Services,Business Sector,Other services (except public administration),"Religious, grant-making, civic, and professional and similar organizations [813]","10,134",
Services,Business Sector,Other services (except public administration),Private households [814],"2,549",
Services,Public sector,Public administration,Defence services [9111],"10,632",
Services,Public sector,Public administration,Federal government public administration (except defence) [911A] 3,"30,341",
Services,Public sector,Public administration,Provincial and territorial public administration [912],"29,102",
Services,Public sector,Public administration,"Local, municipal and regional public administration [913]","35,835",
Services,Public sector,Public administration,Aboriginal public administration [914],"3,502",
